0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 717, 306, 30, 36
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 717, 306, 30, 36
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 717, 306, 30, 36
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 717, 306, 30, 36
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 735, 288, 30, 36
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 759, 264, 30, 38
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 778, 245, 30, 37
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 802, 221, 30, 38
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 843, 180, 30, 39
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 868, 155, 30, 38
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 879, 144, 30, 39
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 893, 130, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 911, 112, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 923, 100, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 939, 84, 30, 41
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 957, 66, 30, 42
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 967, 56, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 975, 48, 30, 41
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 979, 44, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 987, 36, 30, 41
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 991, 32, 30, 41
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 997, 26, 30, 41
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 997, 26, 30, 40
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 1005, 18, 30, 43
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 1008, 15, 30, 42
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 1009, 14, 30, 42
0, 0, 0, 4095, 10, 4085, 42, 32
1, [Not Supported], [Not Supported], 1023, 1013, 10, 30, 42
